"Taux de pauvrete total","Taux de pauvrete > 30 ","Taux de pauvrete 30 - 39","Taux de pauvrete 40 - 49","Taux de pauvrete 50 -59","Taux de pauvrete 60 -74","Taux de pauvrete => 75","part_actifs_stables : ","PDDT tec","esperance de vie homme"," part des vehicules criticair 1 essence","Moy_dist_km_actif","Moy_dist_min_actif"," Emission en equivalent CO2 pour le methane","nombre de personnes en logement social","part des foyers fiscaux imposés","accessiblité potentielle au medecins generalistes","revenu fiscal median declaré par unité","esperance de vie des femmr"
10.3,14.9,11.8,11.4,10.1,7.5,7.2,23.58,6.24,80.7,60055,22.5821264979459,23.2942044395821,NA,89353.2389981566,53.6,2.72214144493515,23300,85.9
18.4,29.7,22.8,21.2,18.4,11.6,9.5,29.42,5.26,76.9,36821,24.8288777446901,26.0995759701424,NA,78869.437069619,43.6,2.94001169389199,19050,83.4
15.5,25.3,19.7,18.2,16.1,10.6,10.2,34.53,2.91,78.2,25209,19.6178375152811,20.5965984226738,NA,32756.8591248695,44,2.88975287796914,19690,84.8
16.8,24.9,20.9,20.3,17.2,12.3,11.3,45.06,2.81,79.4,13438,22.3707923955255,21.9378898082047,NA,14330.1209700991,45.6,3.65123215711515,20190,84.8
13.9,19.9,16.9,16.6,14.6,9.6,10.2,54.36,3.93,80.5,11636,18.9725416379617,20.6112822070702,NA,15079.8402315787,47.5,4.38019529660058,20640,86.4
15.8,21.7,17.6,17.6,16,13.2,11.9,47.95,13.57,80.5,136217,19.7204833644845,28.4146236437358,NA,118838.753965325,55.2,3.90510670421443,22390,85.8
14.4,21.5,18.3,17.5,14.1,9.9,9.9,29.99,2.42,79.7,26078,20.541510620168,22.5196696102683,NA,24462.9996762008,45,3.07024414347668,20140,85.1
18.9,29.7,22.6,22.1,18.2,13.1,11.7,32.29,2.95,77.8,17221,19.615005558208,20.0724244087136,NA,42777.9820544505,41.5,3.7083890362401,19050,83.7
18,26.7,22.8,21,18.7,13,13.2,34.11,2.32,79.1,9631,22.7917967033813,21.1028915048004,NA,6723.14521001245,40.7,3.69173111077832,19160,85.4
16.2,27.6,21.1,18.6,15.1,10.7,7.7,30.52,4.66,77.9,20991,21.2920596027614,23.2576853154824,NA,60039.5837022803,46.6,3.11733626641839,20020,84.8
